-----------------------------------------
Rut: 1-9
Nombre: claudio
Apellido: alarcon
Años como cliente: 7
Categoria: ACTIVO
----------------------------------------------------------------------------------
Rut: 1-9
Nombre: claudio
Apellido: alarcon
Años como cliente: 7
Categoria: ACTIVO
----------------------------------------------------------------------------------
Rut: 1-9
Nombre: claudio
Apellido: alarcon
Años como cliente: 7
Categoria: ACTIVO
----------------------------------------------------------------------------------
Rut: 1-9
Nombre: claudio
Apellido: alarcon
Años como cliente: 7
Categoria: ACTIVO
----------------------------------------------------------------------------------
Rut: 1-9
Nombre: claudio
Apellido: alarcon
Años como cliente: 7
Categoria: ACTIVO
----------------------------------------------------------------------------------
Rut: 1-9
Nombre: claudio
Apellido: alarcon
Años como cliente: 7
Categoria: ACTIVO
----------------------------------------------------------------------------------
Rut: 1-9
Nombre: a
Apellido: as
Años como cliente: 4
Categoria: ACTIVO
----------------------------------------------------------------------------------
Rut: 45
Nombre: as
Apellido: as
Años como cliente: as
Categoria: ACTIVO
-----------------------------------------
